File,Source
khulasah-maghrib-ratib-al-haddad.opus,https://archive.org/download/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A7%D9%84%D8%B1%D8%A7%D8%AA%D8%A8%20%D8%A7%D9%84%D8%B4%D9%87%D9%8A%D8%B1%20%D9%84%D9%84%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D9%84%D8%AD%D8%AF%D8%A7%D8%AF.mp3
blessed-occasions-adhkar-first-ten-days-dhul-hijjah,https://dn720304.ca.archive.org/0/items/dhul-hijjah-tahleel-habib-umar-bin-hafidh/Dhul%20Hijjah%20Tahleel%20-%20Habib%20Umar%20Bin%20Hafidh.mp3
blessed-occasions-dua-nisf-shaban,https://dn720300.ca.archive.org/0/items/dua-2-of-nisfi-shabaan-with-surah-ya-seen-and-dua-by-al-habib-ahmad-mashhur-al-haddad/Dua%202%20of%20Nisfi-Sha%27baan%20with%20Surah%20YaSeen%20and%20Du%27a%20by%20al-Habib%20Ahmad%20Mashhur%20al-Haddad.mp3
blessed-occasions-rajab-istighfar,https://dn720305.ca.archive.org/0/items/scloudtomp-3downloader.com/-%D8%B4%D9%87%D8%B1-%D8%B1%D8%AC%D8%A8-%D8%A8%D8%B5%D9%88%D8%AA-%D8%A7%D9%84_-%D8%A8%D9%8A%D8%A8-%D8%B9%D9%85%D8%B1-scloudtomp3downloader.com.mp3
hadrah-ba-sawdan,https://dn721804.ca.archive.org/0/items/20220606_20220606_1203/%D8%AD%D8%B6%D8%B1%D8%A9%20%D8%A8%D8%A7%D8%B3%D9%88%D8%AF%D8%A7%D9%86%20%20%D8%A8%D8%B5%D9%88%D8%AA%20%D8%A7%D9%84%D8%AD%D8%A8%D9%8A%D8%A8%20%D9%85%D8%B4%D9%87%D9%88%D8%B1%20%D8%A8%D9%86%20%D8%AD%D9%81%D9%8A%D8%B8.mp3
hadrah-badriyyah,https://dn720300.ca.archive.org/0/items/20211123_20211123_1702/%D8%B4%D8%A7%D9%87%D8%AF%20%D8%A7%D9%84%D8%AD%D8%B6%D8%B1%D8%A9%20%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9%20%D9%84%D9%84%D8%AD%D8%A8%D9%8A%D8%A8%20%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D9%85%D8%A9%20%D8%B9%D9%85%D8%B1%20%D8%A8%D9%86%20%D8%AD%D9%81%D9%8A%D8%B8%20%D9%83%D8%A7%D9%85%D9%84%D8%A9%20%D8%A8%D8%AF%D8%A7%D8%B1%20%D8%A7%D9%84%D9%85%D8%B5%D8%B7%D9%81%D9%89%20%D8%A8%D8%AA%D8%B1%D9%8A%D9%85..mp3
khulasah-after-asr-hizb-al-bahr,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%AD%D8%B2%D8%A8%20%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%20%D9%84%D9%84%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D8%A8%D9%8A%20%D8%A7%D9%84%D8%AD%D8%B3%D9%86%20%D8%A7%D9%84%D8%B4%D8%A7%D8%B0%D9%84%D9%8A.mp3
khulasah-after-asr-surah-al-waqiah,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A7%D8%B0%D9%83%D8%A7%D8%B1%20%D9%85%D8%A7%D8%A8%D8%B9%D8%AF%20%D8%A7%D9%84%D8%B9%D8%B5%D8%B1.mp3
khulasah-after-every-prayer-adkhar,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A3%D8%B0%D9%83%D8%A7%D8%B1%20%D9%85%D8%A7%D8%A8%D8%B9%D8%AF%20%D8%A7%D9%84%D8%B5%D9%84%D8%A7%D8%A9.mp3
khulasah-wird-latif-morning,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A7%D9%84%D9%88%D8%B1%D8%AF%20%D8%A7%D9%84%D9%84%D8%B7%D9%8A%D9%81.mp3
